"","totaldiff","freq"
"1","代",0
"2","書",0
"3","秘",0
"4","晶",0
"5","結帳",0.000154942671211652
"6","預約",0.00127052990393554
"7","緻",0
"8","餐廳",0.000774713356058258
"9","方向",9.2965602726991e-05
"10","南海",0.000309885342423303
"11","買",0
"12","電鐵",0.000371862410907964
"13","錯",0
"14","關西",0.00737527114967462
"15","難波",0.000495816547877285
"16","名字",0.000154942671211652
"17","在",0
"18","客路訂",3.09885342423303e-05
"19","迪士尼",0.00350170436938333
"20","票",0
"21","錯誤",0.000123954136969321
"22","日文",0.000433839479392625
"23","未",0
"24","回程",0.000526805082119616
"25","收到",0.000154942671211652
"26","信件",3.09885342423303e-05
"27","樂桃",0.00179733498605516
"28","確認",0.000216919739696312
"29","日本",0.014161760148745
"30","的",0
"31","請問",0.00706538580725132
"32","心得",0.00409048651998761
"33","民宿",0.000743724821815928
"34","野澤",0.000123954136969321
"35","雪場",6.19770684846607e-05
"36","源六",3.09885342423303e-05
"37","後",0
"38","限定",0.0010226216299969
"39","期間",0.000650759219088937
"40","溫泉",0.00362565850635265
"41","道",0
"42","實花",3.09885342423303e-05
"43","蜷川",6.19770684846607e-05
"44","五夜",0.00498915401301518
"45","六天",0.00505113108149985
"46","北九州",0.00325379609544469
"47","行程",0.0326619150914162
"48","請益",0.0297180043383948
"49","本周",0.000619770684846607
"50","早鳥",0.000247908273938643
"51","之森",0.000340873876665634
"52","可",0
"53","享受",3.09885342423303e-05
"54","值",0
"55","超高",6.19770684846607e-05
"56","種",0
"57","箱根",0.00192128912302448
"58","匯率",0.00195227765726681
"59","分享",0.0041834521227146
"60","可愛",0.000371862410907964
"61","列車",0.000712736287573598
"62","達菲",6.19770684846607e-05
"63","艾草",6.19770684846607e-05
"64","谷堂",3.09885342423303e-05
"65","奈良",0.0037806011775643
"66","東向",3.09885342423303e-05
"67","商店",0.000836690424542919
"68","麻",0
"69","街中",3.09885342423303e-05
"70","糬",0
"71","合掌",0.00179733498605516
"72","村",0
"73","到",0
"74","哪裡",0.00105361016423923
"75","商品",0.000247908273938643
"76","還買",9.2965602726991e-05
"77","天氣",0.000154942671211652
"78","回報",0.000123954136969321
"79","含",0
"80","物候",9.2965602726991e-05
"81","穿著",0.000247908273938643
"82","詢問",0.00114657576696622
"83","實況",0.000123954136969321
"84","三鷹",0.000309885342423303
"85","之森吉卜力",0.000123954136969321
"86","可以",0.00185931205453982
"87","休館",0.000123954136969321
"88","改去",3.09885342423303e-05
"89","哪",0
"90","博物館",0.000650759219088937
"91","冬季",0.000557793616361946
"92","建議",0.00148744964363186
"93","雪景",0.000123954136969321
"94","早餐",0.00139448404090487
"95","咖啡",0.000774713356058258
"96","送",0
"97","點",0
"98","五日",0.000805701890300589
"99","地鐵",0.00096064456151224
"100","老弱婦孺",6.19770684846607e-05
"101","自由",0.00563991323210412
"102","行",0
"103","東京",0.0333126743105051
"104","團",0
"105","夏季",0.000495816547877285
"106","票價",0.000340873876665634
"107","結構",3.09885342423303e-05
"108","訂車",3.09885342423303e-05
"109","問題",0.0111868608614813
"110","住宿",0.00650759219088937
"111","取消",0.000867678958785249
"112","東橫",0.00111558723272389
"113","訂房",0.00189030058878215
"114","跟",0
"115","關於",0.00328478462968702
"116","變更",0.000309885342423303
"117","天夜",0.00647660365664704
"118","沖繩",0.010040285094515
"119","三月份",6.19770684846607e-05
"120","快速",0.00167338084908584
"121","通關",0.00148744964363186
"122","影城",0.00511310814998451
"123","環球",0.00594979857452742
"124","比賽",0.000247908273938643
"125","巨蛋",0.000247908273938643
"126","看",0
"127","野球",0.000123954136969321
"128","上線",3.09885342423303e-05
"129","中文版",9.2965602726991e-05
"130","系統",0.000247908273938643
"131","東",0
"132","訂票",0.000867678958785249
"133","網路",0.000588782150604276
"134","大阪",0.0163619460799504
"135","各式",3.09885342423303e-05
"136","旅遊",0.00207623179423613
"137","兌換",0.000402850945150294
"138","毛茸球",3.09885342423303e-05
"139","紅色",6.19770684846607e-05
"140","海濱公園",9.2965602726991e-05
"141","茨城縣",3.09885342423303e-05
"142","草",0
"143","掃帚",3.09885342423303e-05
"144","有關",0.000712736287573598
"145","遊京奈",3.09885342423303e-05
"146","同時",3.09885342423303e-05
"147","使用",0.00260303687635575
"148","兩張",0.000309885342423303
"149","怎麼",0.000774713356058258
"150","站",0
"151","進出",0.000309885342423303
