,totaldiff,freq
18,東京,0.032738287
30,行程,0.031997164
33,請益,0.031256042
105,大阪,0.017239157
17,京都,0.016594703
43,沖繩,0.014693562
282,日本,0.014500226
36,問題,0.012792421
77,關西,0.008764581
46,天夜,0.008055681
37,請問,0.007991235
229,五天,0.007024554
106,住宿,0.006573436
230,四夜,0.006573436
7,北海道,0.006122317
258,環球,0.006025649
73,京阪,0.005928981
243,飯店,0.005896758
199,自由,0.005703422
241,交通,0.005413418
42,自助,0.005348972
256,影城,0.005058968
28,五夜,0.004672295
29,六天,0.004446736
193,機場,0.004446736
1,關於,0.004285622
336,心得,0.004124509
31,阪神,0.003963395
250,推薦,0.003963395
653,請教,0.00389895
218,選擇,0.003383386
586,九州,0.003383386
355,奈良,0.003351163
390,成田,0.003318941
45,分享,0.003254495
392,使用,0.003125604
465,迪士尼,0.002996713
304,可以,0.002803377
160,時間,0.002771154
424,旅行,0.002771154
104,樂桃,0.002706709
89,巴士,0.002642263
319,神戶,0.002610041
665,香草,0.002610041
69,新宿,0.002577818
844,租車,0.00248115
216,日光,0.002223368
38,上野,0.002158922
544,七天,0.002158922
1147,和服,0.002158922
177,北陸,0.0021267
545,六夜,0.0021267
555,匯率,0.0021267
119,有人,0.002062254
358,機票,0.002062254
41,四天,0.002030032
128,溫泉,0.001997809
40,三夜,0.001965586
354,行李,0.001933363
438,一日,0.001933363
683,旅遊,0.001933363
631,酷航,0.001868918
198,八天,0.001836695
456,公園,0.001836695
1789,門票,0.001836695
517,箱根,0.001804473
1177,自駕,0.001804473
153,親子,0.00177225
197,七夜,0.001740027
278,車站,0.001740027
659,購買,0.001740027
666,航空,0.001740027
829,福岡,0.001707804
896,取消,0.001707804
1048,富士山,0.001707804
335,賞楓,0.001611136
418,河口,0.001578913
521,預約,0.001578913
125,訂房,0.001546691
213,安排,0.001546691
1163,促銷,0.001546691
58,一周,0.001514468
186,周遊,0.001514468
531,廣島,0.001514468
542,颱風,0.001514468
623,景點,0.001514468
225,一日遊,0.001482245
115,第一次,0.001450023
247,市場,0.001450023
254,富士,0.001450023
617,虎航,0.001450023
757,神社,0.0014178
126,旅館,0.001385577
279,附近,0.001385577
398,東北,0.001385577
44,新手,0.001353354
882,有關,0.001353354
1061,淺草,0.001353354
217,輕井澤,0.001321132
422,博多,0.001321132
756,北九州,0.001321132
182,體驗,0.001288909
261,名古屋,0.001288909
593,札幌,0.001288909
1721,通關,0.001288909
323,規劃,0.001256686
557,限定,0.001256686
637,橫濱,0.001256686
60,版友,0.001224463
385,東橫,0.001224463
590,建議,0.001224463
2740,快速,0.001224463
61,禁言,0.001192241
195,美食,0.001192241
362,疑問,0.001192241
351,活動,0.001160018
108,台灣,0.001127795
626,關東,0.001127795
1012,如何,0.001127795
1155,航班,0.001127795
834,嵐山,0.001095573
1121,一個,0.001095573
1770,哪裡,0.001095573
1490,清水,0.00106335
27,餐廳,0.001031127
406,四國,0.001031127
606,利木津,0.001031127
889,簡單,0.001031127
1971,是否,0.001031127
78,什麼,0.000998904
710,套票,0.000998904
885,不要,0.000998904
1294,羽田,0.000998904
62,讓售,0.000966682
144,函館,0.000966682
471,燒肉,0.000966682
482,網路,0.000966682
553,適合,0.000966682
794,岡山,0.000966682
906,便宜,0.000966682
946,整理,0.000966682
1118,上網卡,0.000966682
4,酒店,0.000934459
56,詢問,0.000934459
317,方式,0.000934459
727,築地,0.000934459
887,這麼,0.000934459
935,姬路,0.000934459
2016,月底,0.000934459
253,比較,0.000902236
341,捷星,0.000902236
1165,樂天,0.000902236
453,點燈,0.000870014
472,民宿,0.000870014
507,明年,0.000870014
565,票券,0.000870014
825,還是,0.000870014
1038,銀座,0.000870014
1712,池袋,0.000870014
1868,信用卡,0.000870014
618,上網,0.000837791
724,好吃,0.000837791
1308,宇治,0.000837791
1402,料理,0.000837791
71,之旅,0.000805568
248,食堂,0.000805568
799,班機,0.000805568
824,訂票,0.000805568
1052,地方,0.000805568
1650,合掌,0.000805568
