"","result"
"1","晶"
"2","緻"
"3","秘"
"4","書"
"5","代"
"6","預約"
"7","餐廳"
"8","結帳"
"9","南海"
"10","電鐵"
"11","關西"
"12","難波"
"13","買"
"14","錯"
"15","方向"
"16","在"
"17","客路訂"
"18","迪士尼"
"19","票"
"20","名字"
"21","錯誤"
"22","樂桃"
"23","回程"
"24","日文"
"25","未"
"26","收到"
"27","確認"
"28","信件"
"29","請問"
"30","日本"
"31","的"
"32","野澤"
"33","雪場"
"34","源六"
"35","民宿"
"36","心得"
"37","期間"
"38","限定"
"39","道"
"40","後"
"41","溫泉"
"42","蜷川"
"43","實花"
"44","北九州"
"45","六天"
"46","五夜"
"47","行程"
"48","請益"
"49","本周"
"50","早鳥"
"51","值"
"52","超高"
"53","的"
"54","箱根"
"55","之森"
"56","可"
"57","享受"
"58","種"
"59","溫泉"
"60","匯率"
"61","分享"
"62","迪士尼"
"63","可愛"
"64","的"
"65","達菲"
"66","列車"
"67","奈良"
"68","東向"
"69","商店"
"70","街中"
"71","谷堂"
"72","艾草"
"73","麻"
"74","糬"
"75","請問"
"76","哪裡"
"77","還買"
"78","的"
"79","到"
"80","合掌"
"81","村"
"82","的"
"83","商品"
"84","實況"
"85","回報"
"86","含"
"87","天氣"
"88","物候"
"89","穿著"
"90","詢問"
"91","三鷹"
"92","之森吉卜力"
"93","博物館"
"94","休館"
"95","可以"
"96","改去"
"97","哪"
"98","冬季"
"99","雪景"
"100","行程"
"101","建議"
"102","咖啡"
"103","點"
"104","咖啡"
"105","送"
"106","早餐"
"107","東京"
"108","五日"
"109","地鐵"
"110","自由"
"111","行"
"112","老弱婦孺"
"113","團"
"114","樂桃"
"115","夏季"
"116","票價"
"117","結構"
"118","訂車"
"119","問題"
"120","關於"
"121","東橫"
"122","住宿"
"123","變更"
"124","跟"
"125","訂房"
"126","取消"
"127","沖繩"
"128","天夜"
"129","行程"
"130","請益"
"131","環球"
"132","影城"
"133","快速"
"134","通關"
"135","三月份"
"136","東京"
"137","巨蛋"
"138","看"
"139","野球"
"140","比賽"
"141","東"
"142","日本"
"143","網路"
"144","訂票"
"145","系統"
"146","中文版"
"147","上線"
"148","大阪"
"149","各式"
"150","旅遊"
"151","問題"
"152","請益"
"153","東"
"154","日本"
"155","兌換"
"156","問題"
"157","茨城縣"
"158","海濱公園"
"159","掃帚"
"160","草"
"161","紅色"
