"","x"
"1","代"
"2","書"
"3","秘"
"4","晶"
"5","結帳"
"6","預約"
"7","緻"
"8","餐廳"
"9","方向"
"10","南海"
"11","買"
"12","電鐵"
"13","錯"
"14","關西"
"15","難波"
"16","名字"
"17","在"
"18","客路訂"
"19","迪士尼"
"20","票"
"21","錯誤"
"22","日文"
"23","未"
"24","回程"
"25","收到"
"26","信件"
"27","樂桃"
"28","確認"
"29","日本"
"30","的"
"31","請問"
"32","心得"
"33","民宿"
"34","野澤"
"35","雪場"
"36","源六"
"37","後"
"38","限定"
"39","期間"
"40","溫泉"
"41","道"
"42","實花"
"43","蜷川"
"44","五夜"
"45","六天"
"46","北九州"
"47","行程"
"48","請益"
"49","本周"
"50","早鳥"
"51","之森"
"52","可"
"53","享受"
"54","值"
"55","超高"
"56","種"
"57","箱根"
"58","匯率"
"59","分享"
"60","可愛"
"61","列車"
"62","達菲"
"63","艾草"
"64","谷堂"
"65","奈良"
"66","東向"
"67","商店"
"68","麻"
"69","街中"
"70","糬"
"71","合掌"
"72","村"
"73","到"
"74","哪裡"
"75","商品"
"76","還買"
"77","天氣"
"78","回報"
"79","含"
"80","物候"
"81","穿著"
"82","詢問"
"83","實況"
"84","三鷹"
"85","之森吉卜力"
"86","可以"
"87","休館"
"88","改去"
"89","哪"
"90","博物館"
"91","冬季"
"92","建議"
"93","雪景"
"94","早餐"
"95","咖啡"
"96","送"
"97","點"
"98","五日"
"99","地鐵"
"100","老弱婦孺"
"101","自由"
"102","行"
"103","東京"
"104","團"
"105","夏季"
"106","票價"
"107","結構"
"108","訂車"
"109","問題"
"110","住宿"
"111","取消"
"112","東橫"
"113","訂房"
"114","跟"
"115","關於"
"116","變更"
"117","天夜"
"118","沖繩"
"119","三月份"
"120","快速"
"121","通關"
"122","影城"
"123","環球"
"124","比賽"
"125","巨蛋"
"126","看"
"127","野球"
"128","上線"
"129","中文版"
"130","系統"
"131","東"
"132","訂票"
"133","網路"
"134","大阪"
"135","各式"
"136","旅遊"
"137","兌換"
"138","毛茸球"
"139","紅色"
"140","海濱公園"
"141","茨城縣"
"142","草"
"143","掃帚"
"144","有關"
"145","遊京奈"
"146","同時"
"147","使用"
"148","兩張"
"149","怎麼"
"150","站"
"151","進出"
"152","心齋橋"
"153","服務中心"
"154","旅客"
"155","新家"
"156","七天"
"157","六夜"
"158","西京"
"159","阪奈"
"160","關"
"161","包車來"
"162","回合"
"163","金澤"
"164","掌村"
"165","上野"
"166","官網"
"167","金屋"
"168","入境"
"169","煮熟"
"170","資格"
"171","螃蟹"
"172","名古屋"
"173","松本"
"174","滑雪"
"175","有帶"
"176","你們"
"177","來"
"178","爸媽"
"179","玩"
"180","帶"
"181","遊"
"182","還好"
"183","日田"
"184","由布院"
"185","安排"
"186","一雙"
"187","成田"
"188","美食"
"189","區"
"190","筷子"
"191","機場"
